  c =    0.100000000000000E+03
                             0.409290013293077E+00    -0.484995775741083E+02  12
    90.00000000000000        0.000000000000000E+00    -0.566335427236548E+02
                             0.180717654595036E+01     0.000000000000000E+00  12
 l =      6
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.167408816023624E-09     0.114295698451031E-07
                             0.327675206578882E-10     0.228289317590945E-08   2
    50.00000000000000        0.771697887661038E-05     0.418647559614881E-03
                             0.197850613596411E-05     0.110765635094222E-03   7
    60.00000000000000        0.227663557232802E-01     0.832498943309660E+00
                             0.834502725133675E-02     0.325805781308637E+00  10
    70.00000000000000        0.174907273697183E+01     0.184029361812900E+02
                             0.118569980130898E+01     0.190327966690152E+02  12
    80.00000000000000       -0.168387465981625E+01     0.169547665026229E+02
                            -0.132928825947147E+01    -0.351598372625349E+02  12
    90.00000000000000       -0.164302053478282E+01     0.000000000000000E+00
                             0.000000000000000E+00    -0.566335427236548E+02  13
 l =      7
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.783419547867272E-09     0.523774056117396E-07
                             0.167408982239199E-09     0.114295700910554E-07   3
    50.00000000000000        0.274236565938520E-04     0.143894415995945E-02
                             0.771697887660690E-05     0.418647559608883E-03   7
    60.00000000000000        0.557869392713727E-01     0.189376539632170E+01
                             0.227663557232800E-01     0.832498943309653E+00  11
    70.00000000000000        0.211477186418364E+01     0.681858947622647E+01
                             0.174907273697183E+01     0.184029361812900E+02  12
    80.00000000000000       -0.306424257514489E+00     0.566685516877373E+02
                            -0.168387465981625E+01     0.169547665026229E+02  12
    90.00000000000000        0.000000000000000E+00     0.607589236350219E+02
                            -0.164302053478282E+01     0.000000000000000E+00  13
 l =      8
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.339184051176108E-08     0.221893089096222E-06
                             0.783419504314862E-09     0.523774071633949E-07   3
    50.00000000000000        0.896465745174964E-04     0.453991319649232E-02
                             0.274236565940723E-04     0.143894415996176E-02   8
    60.00000000000000        0.123705424711462E+00     0.385344454352378E+01
                             0.557869392713729E-01     0.189376539632170E+01  11
    70.00000000000000        0.198386235303648E+01    -0.160655167932730E+02
                             0.211477186418364E+01     0.681858947622649E+01  12
    80.00000000000000        0.130886842468707E+01     0.337296437905880E+02
                            -0.306424257514489E+00     0.566685516877373E+02  12
    90.00000000000000        0.153046537031556E+01     0.000000000000000E+00
                             0.000000000000000E+00     0.607589236350219E+02  13
 l =      9
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.136891324891611E-07     0.875539230820343E-06
                             0.339184153344958E-08     0.221893093382084E-06   4
    50.00000000000000        0.271484040369774E-03     0.132374348495268E-01
                             0.896465745175671E-04     0.453991319647517E-02   8
    60.00000000000000        0.249325956380826E+00     0.701551357212018E+01
                             0.123705424711458E+00     0.385344454352377E+01  12
    70.00000000000000        0.119673163495374E+01    -0.414837710964471E+02
                             0.198386235303648E+01    -0.160655167932730E+02  12
    80.00000000000000        0.132909717800667E+01    -0.323630787484464E+02
                             0.130886842468707E+01     0.337296437905881E+02  12
    90.00000000000000        0.000000000000000E+00    -0.639988056210320E+02
                             0.153046537031557E+01     0.000000000000000E+00  12
 l =     10
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.518033311503685E-07     0.323631233033254E-05
                             0.136891324464535E-07     0.875539226974938E-06   4
    50.00000000000000        0.765718234314801E-03     0.358483349007747E-01
                             0.271484040369488E-03     0.132374348495210E-01   9
    60.00000000000000        0.457572436095101E+00     0.113717910958250E+02
