  c = i times   0.10000000000000E+03
 l =      0
                            -0.52482870632090E-01    -0.18842045688503E+01  11
    50.00000000000000       -0.60484598036140E-05    -0.34021364962228E-03
                            -0.17515507565085E-04    -0.95652630369618E-03   7
    60.00000000000000       -0.10123024646320E-09    -0.69923908709943E-08
                            -0.37880812574110E-09    -0.25659620501745E-07   2
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     16
     0.00000000000000        0.12735004853843E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.70740913313674E+02  12
    10.00000000000000       -0.12725500631392E+01    -0.15269744541801E+02
                             0.88949620539890E-01     0.68698285945157E+02  11
    20.00000000000000        0.12270576318175E+01    -0.33674756753198E+02
                            -0.13455410140246E+01    -0.23815873355062E+02  12
    30.00000000000000        0.16916230640887E+01    -0.25158702930099E+02
                            -0.19903718267073E+01     0.37484129725056E+01  11
    40.00000000000000        0.10206022652068E+00     0.34075104487307E+01
                            -0.52482870632091E-01    -0.18842045688503E+01  11
    50.00000000000000        0.48405743650043E-04     0.25623387691925E-02
                            -0.17515507564742E-04    -0.95652630369208E-03   8
    60.00000000000000        0.13589073284945E-08     0.90208980326742E-07
                            -0.37880852782832E-09    -0.25659617363645E-07   3
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     17
     0.00000000000000        0.12735004853843E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.72352858460405E+02  12
    10.00000000000000       -0.12725500631392E+01    -0.15269744541802E+02
                            -0.62421065543582E+00     0.61893354936850E+02  12
    20.00000000000000        0.12270576318175E+01    -0.33674756753198E+02
                             0.81639621444174E-01    -0.64932046239168E+02  11
    30.00000000000000        0.16916230640887E+01    -0.25158702930099E+02
                             0.97364573796799E+00    -0.45258893236281E+02  12
    40.00000000000000        0.10206022652067E+00     0.34075104487304E+01
                             0.18700204455712E+00     0.57437352531955E+01  11
    50.00000000000000        0.48405743652826E-04     0.25623387692851E-02
                             0.12783593665768E-03     0.65474628600013E-02   8
    60.00000000000000        0.13589062797865E-08     0.90208918459261E-07
                             0.46810810787459E-08     0.30431878611889E-06   3
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     18
     0.00000000000000        0.12314383611478E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.72352858460406E+02  12
    10.00000000000000       -0.89375642434077E+00    -0.50102187385379E+02
                            -0.62421065543582E+00     0.61893354936850E+02  12
    20.00000000000000        0.10978769544374E+01     0.38350044256549E+02
                             0.81639621444175E-01    -0.64932046239168E+02  11
    30.00000000000000        0.24457201989956E-01     0.53824817941142E+02
                             0.97364573796799E+00    -0.45258893236281E+02  11
    40.00000000000000       -0.32249024980525E+00    -0.89812811349657E+01
                             0.18700204455712E+00     0.57437352531955E+01  12
    50.00000000000000       -0.32296428396298E-03    -0.15972435129299E-01
                             0.12783593665803E-03     0.65474628600086E-02   8
    60.00000000000000       -0.15506297561349E-07    -0.98647103821728E-06
                             0.46810807021516E-08     0.30431878477682E-06   4
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     19
     0.00000000000000        0.12314383611478E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.73740896320924E+02  12
    10.00000000000000       -0.89375642434077E+00    -0.50102187385379E+02
                            -0.10714958705298E+01     0.36449621148868E+02  12
    20.00000000000000        0.10978769544374E+01     0.38350044256549E+02
                             0.12360476876383E+01    -0.25863032135497E+02  12
    30.00000000000000        0.24457201989956E-01     0.53824817941142E+02
                             0.98241573920037E+00     0.42376732397851E+02  11
    40.00000000000000       -0.32249024980525E+00    -0.89812811349657E+01
                            -0.52242681775682E+00    -0.12927307340751E+02  12
    50.00000000000000       -0.32296428396257E-03    -0.15972435129297E-01
                            -0.78118697502173E-03    -0.37219084289879E-01   9
    60.00000000000000       -0.15506297749862E-07    -0.98647103790908E-06
                            -0.49454546169532E-07    -0.30762453074749E-05   4
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     20
     0.00000000000000        0.11940205632349E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.73740896320924E+02  12
    10.00000000000000       -0.32376223951293E+00    -0.70176299361737E+02
                            -0.10714958705298E+01     0.36449621148868E+02  12
    20.00000000000000       -0.19838437053523E+00     0.67318659678751E+02
                             0.12360476876383E+01    -0.25863032135497E+02  12
    30.00000000000000       -0.15037799016371E+01    -0.10611130885910E+02
                             0.98241573920037E+00     0.42376732397851E+02  12
    40.00000000000000        0.79259697676055E+00     0.16907300655108E+02
                            -0.52242681775682E+00    -0.12927307340751E+02  12
    50.00000000000000        0.18101130065283E-02     0.82863639874430E-01
                            -0.78118697502141E-03    -0.37219084289882E-01   9
    60.00000000000000        0.15201709792185E-06     0.92376542497445E-05
                            -0.49454546236222E-07    -0.30762453085643E-05   5
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     21
     0.00000000000000        0.11940205632349E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.74937337050163E+02  12
    10.00000000000000       -0.32376223951293E+00    -0.70176299361737E+02
                            -0.11994032942480E+01     0.17876305417325E+01  11
    20.00000000000000       -0.19838437053523E+00     0.67318659678751E+02
                             0.10032636846131E+01     0.42245944137161E+02  12
